step,train/mf_minDist_mean,train/mf_maxW_mean,train/mf_entropy_mean,train/prompt_utilization/p0,train/prompt_utilization/p1,train/prompt_utilization/p2,train/acc_per_prompt/p0,train/acc_per_prompt/p1,train/acc_per_prompt/p2,train/acc_top_prompt,train/weighted_margin_mean,train/mf_sqdist_mean_all
7800,0.0026187896728515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.767578125,0.0031909942626953125
7850,0.0026645660400390625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.25390625,0.0032501220703125
7900,0.002613067626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.3203125,0.0031833648681640625
7950,0.00261688232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.111328125,0.0031757354736328125
8000,0.002643585205078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.673828125,0.003185272216796875
8050,0.0025959014892578125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.12890625,0.00318145751953125
8100,0.0026226043701171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.03125,0.0031757354736328125
8150,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.90234375,0.0032138824462890625
8200,0.0025920867919921875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.5546875,0.0032138824462890625
8250,0.0026226043701171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.947265625,0.0031909942626953125
8300,0.0027256011962890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.53125,0.53125,0.53125,0.53125,2.00390625,0.0031909942626953125
8350,0.002590179443359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.1796875,0.0032062530517578125
8400,0.00264739990234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.359375,0.0031642913818359375
8450,0.002597808837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.01171875,0.0031909942626953125
